Temperature,ProductionRate
200,0.01
250,0.05
300,0.1
350,0.25
400,0.6
450,1.0
500,0.7
550,0.4
600,0.2
650,0.1
700,0.01
200,0.01
250,0.05
300,0.1
350,0.25
400,0.6
450,1.0
500,0.7
550,0.4
600,0.2
650,0.1
700,0.01
200,0.01
250,0.05
300,0.1
350,0.25
400,0.6
450,1.0
500,0.7
550,0.4
600,0.2
650,0.1
700,0.01
200,0.01
250,0.05
300,0.1
350,0.25
400,0.6
450,1.0
500,0.7
550,0.4
600,0.2
650,0.1
700,0.01
200,0.01
250,0.05
300,0.1
350,0.25
400,0.6
450,1.0
500,0.7
550,0.4
600,0.2
650,0.1
700,0.01
200,0.01
250,0.05
300,0.1
350,0.25
400,0.6
450,1.0
500,0.7
550,0.4
600,0.2
650,0.1
700,0.01
200,0.01
250,0.05
300,0.1
350,0.25
400,0.6
450,1.0
500,0.7
550,0.4
600,0.2
650,0.1
700,0.01
200,0.01
250,0.05
300,0.1
350,0.25
400,0.6
450,1.0
500,0.7
550,0.4
600,0.2
650,0.1
700,0.01
200,0.01
250,0.05
300,0.1
350,0.25
400,0.6
450,1.0
500,0.7
550,0.4
600,0.2
650,0.1
700,0.01
